School,ID,Address,City_State_Zip,Grades,Level,Neighborhood,Capacity,Utilization (5 year avg),Building_Exp,Enrollment,Asian,Black,Hispanic,MultiRacial,Native_American,Pacific_Islander,White,AA_K1,AA_K2,Pct_Neighborhood,Pct_Walkzone,K1_First_Choice,K1_Top_3,K2_First_Choice,K2_Top_3,Private_Dollar_per_Student,Pct_Econ_Disadv,Opp_Index,MCAS_Tier
Adams Elementary School,4361,165 Webster St.,"East Boston, MA 02128",K0-6,Elementary,East Boston,236,102%,2,221,0.90%,4.52%,72.40%,2.71%,0.00%,0.00%,19.46%,0%,3%,96.68%,59.72%,46.36%,69.35%,36.81%,63.19%,$89 ,50,0.429,3
Alighieri Dante Montessori School,4321,37 Gove St.,"East Boston, MA 02128",K0-6,Elementary,East Boston,80,134%,3,101,4.95%,2.97%,58.42%,3.96%,0.00%,0.00%,29.70%,0%,0%,100.00%,75.76%,80.95%,90.48%,51.85%,66.67%,$60 ,25,0.428,2.125
Baldwin Early Learning Pilot Academy,4621,121 Corey Rd.,"Brighton, MA 02135",K0-1,Elementary,Allston/Brighton,246,67%,2,154,23.38%,11.69%,37.66%,11.69%,0.00%,0.00%,15.58%,0%,1%,90.28%,56.94%,61.03%,70.94%,53.04%,77.14%,$822 ,33,0.385,2.25
Bates Elementary School,4081,426 Beech St.,"Roslindale, MA 02131",K0-6,Elementary,Roslindale,164,165%,0,293,2.39%,21.16%,29.01%,5.12%,0.34%,0.00%,41.98%,0%,0%,51.74%,53.82%,90.20%,98.04%,78.07%,93.57%,$191 ,46,0.316,2
Beethoven Elementary School,4030,5125 Washington St.,"West Roxbury, MA 02132",K1-2,Elementary,West Roxbury,237,115%,4,276,1.81%,26.45%,40.22%,5.80%,0.00%,0.00%,25.36%,0%,1%,42.44%,32.84%,89.94%,100.00%,67.41%,89.55%,$66 ,38,0.304,2
Blackstone Elementary School,4640,380 Shawmut Ave,"South End, MA 02118",K0-6,Elementary,South End,803,70%,3,580,2.59%,25.69%,65.86%,1.90%,0.17%,0.00%,3.62%,16%,4%,43.72%,58.76%,59.16%,77.79%,44.11%,76.32%,$15 ,71,0.57,4
Boston Teachers Union K-8 Pilot,4661,25 Walk Hill St,"Jamaica Plain, MA 02130",K1-8,Elementary,Mission Hill /Jamaica Plain,282,94%,3,211,1.42%,21.33%,37.91%,11.37%,0.47%,0.47%,27.01%,0%,0%,52.20%,48.29%,82.74%,93.42%,55.00%,73.33%,$234 ,41,0.359,2
Bradley Elementary School,4062,110 Beachview Rd,"East Boston, MA 02128",K0-6,Elementary,East Boston,297,99%,2,296,4.39%,6.76%,44.26%,3.38%,0.34%,0.34%,40.54%,0%,0%,96.93%,53.92%,85.95%,96.37%,78.81%,86.59%,$139 ,45,0.47,1
Channing Elementary School,4201,35 Sunnyside St,"Hyde Park, MA 02136",K0-6,Elementary,Hyde Park,207,94%,0,203,1.48%,44.33%,45.81%,1.48%,0.49%,0.00%,6.40%,1%,1%,58.21%,49.25%,66.89%,90.14%,37.62%,63.76%,$114 ,64,0.365,4
Chittick Elementary School,4070,154 Ruskindale Rd,"Mattapan, MA 02136",K0-6,Elementary,Hyde Park,248,98%,1,277,1.08%,59.57%,30.32%,3.61%,0.36%,0.00%,5.05%,1%,1%,43.01%,46.69%,56.57%,67.78%,51.53%,66.16%,$0 ,70,0.46,4
Clap Elementary School,4531,35 Harvest St,"Dorchester, MA 02125",K0-6,Elementary,Dorchester,187,69%,1,146,5.48%,35.62%,41.78%,5.48%,0.00%,0.00%,10.96%,3%,0%,34.72%,55.56%,49.10%,89.26%,50.75%,83.84%,$20 ,62,0.556,2
Condon K-8 School,4630,200 D St,"South Boston, MA 02127",K0-8,Elementary,South Boston,913,63%,4,450,5.78%,33.33%,47.56%,4.44%,1.11%,0.44%,7.11%,2%,2%,51.25%,55.10%,72.58%,84.06%,54.00%,72.75%,$28 ,67,0.591,3
Conley Elementary School,4080,450 Poplar St,"Roslindale, MA 02131",K0-6,Elementary,Roslindale,160,101%,1,157,0.64%,24.20%,52.87%,4.46%,0.00%,1.27%,16.56%,0%,0%,31.85%,47.13%,76.26%,88.13%,58.38%,83.48%,$171 ,49,0.324,1
Curley K-8 School,4272,40 Pershing Rd,"Jamaica Plain, MA 02130",K0-8,Elementary,Mission Hill /Jamaica Plain,780,119%,2,959,3.55%,18.25%,39.00%,7.40%,0.10%,0.10%,31.60%,0%,0%,45.05%,49.05%,78.70%,91.40%,59.18%,70.08%,$174 ,55,0.488,2
Dever Elementary School,4100,325 Mt Vernon St,"Dorchester, MA 02125",K1-6,Elementary,Dorchester,514,73%,2,276,2.54%,22.10%,63.77%,2.17%,0.00%,0.36%,9.06%,0%,0%,34.47%,27.27%,56.18%,82.82%,41.11%,61.98%,$2 ,80,0.643,3
Dudley Street Neighborhood Charter School,4123,6 Shirley St,"Roxbury, MA 02119",K1-5,Elementary,Roxbury,266,107%,0,271,0.00%,55.72%,37.27%,2.21%,0.74%,0.37%,3.69%,0%,0%,44.53%,41.13%,68.21%,83.63%,49.11%,64.93%,$188 ,66.7,0.622,3
East Boston Early Education Center,4450,135 Gove St,"East Boston, MA 02128",K0-1,Elementary,East Boston,180,99%,3,140,0.71%,2.86%,62.86%,6.43%,0.00%,0.00%,27.14%,0%,0%,98.56%,87.05%,72.84%,78.29%,54.37%,82.14%,$57 ,55,0.426,2.125
Edison Elementary School,4178,60 Glenmont Rd,"Brighton, MA 02135",K1-6,Elementary,Allston/Brighton,741,72%,2,457,8.32%,17.72%,58.86%,2.19%,0.22%,0.00%,12.69%,1%,2%,83.90%,40.14%,78.23%,94.22%,57.96%,85.66%,$41 ,59,0.526,2
Eliot K-8 Innovation School - Lower,4381L,16 Charter St,"North End, MA 02113",K0-1,Elementary,Downtown,168,138%,1,258,7.36%,2.33%,16.28%,8.91%,0.39%,0.00%,64.73%,0%,0%,34.78%,62.06%,100.00%,100.00%,87.44%,89.89%,"$1,233 ",20,0.162,1
Ellis Elementary School,4240,302 Walnut Ave,"Roxbury, MA 02119",K0-6,Elementary,Roxbury,377,97%,1,421,0.00%,27.55%,66.27%,2.38%,0.00%,0.00%,3.09%,2%,5%,69.49%,58.60%,52.17%,82.62%,42.80%,73.74%,$28 ,81,0.197,4
Ellison-Parks Early Education School,4440,108 Babson St,"Mattapan, MA 02126",K0-3,Elementary,Mattapan,227,82%,3,182,1.10%,53.85%,37.36%,2.20%,0.00%,0.00%,3.85%,0%,1%,39.78%,37.02%,59.37%,66.03%,70.78%,83.04%,$4 ,68,0.531,4
Everett Elementary School,4140,71 Pleasant St,"Dorchester, MA 02125",K0-6,Elementary,Dorchester,249,113%,1,283,9.89%,39.58%,34.98%,2.47%,0.35%,0.00%,12.72%,0%,1%,41.07%,62.14%,93.27%,96.97%,64.02%,89.10%,$6 ,66,0.537,3
Gardner Pilot Academy,4160,30 Athol St,"Allston, MA 02134",K0-6,Elementary,Allston/Brighton,414,87%,3,294,5.44%,12.24%,64.63%,4.08%,1.02%,0.00%,12.59%,0%,0%,92.58%,68.90%,82.77%,97.22%,76.48%,87.41%,"$1,047 ",51,0.459,3
Greenwood Sarah K-8 School,4130,186 Glenway Street,"Dorchester, MA 02121",K1-8,Elementary,Dorchester,228,162%,3,384,0.00%,10.68%,87.24%,0.52%,0.26%,0.00%,1.30%,0%,0%,38.36%,61.38%,78.42%,96.25%,47.88%,60.30%,$67 ,72,0.636,2
