School,"$ per student via private fundraising
2018",Economically disadvantaged,2019 Opportunity Index Score
Adams Elementary School,$89 ,50,0.429
Alighieri Dante Montessori School,$60 ,25,0.428
Another Course to College,$16 ,57,0.531
Baldwin Early Learning Pilot Academy,$822 ,33,0.385
Bates Elementary School,$191 ,46,0.316
Beethoven Elementary School,$66 ,38,0.304
Blackstone Elementary School,$15 ,71,0.57
Boston Adult Tech Academy,$73 ,39,0.701
Boston Arts Academy,"$14,161 ",45,0.433
Boston Collaborative High School,$0 ,58,0.675
Boston Community Leadership Academy,$236 ,56,0.53
Boston International Newcomers Academy,$166 ,63,0.637
Boston Latin Academy,"$1,236 ",31,0.266
Boston Latin School ,"$24,350 ",16,0.215
Boston Teachers Union K-8 Pilot,$234 ,41,0.359
Bradley Elementary School,$139 ,45,0.47
Brighton High School,$85 ,65,0.65
Burke,$186 ,61,0.626
Carter School,"$4,379 ",68,0.888
Channing Elementary School,$114 ,64,0.365
Charlestown High School,$659 ,62,0.665
Chittick Elementary School,$0 ,70,0.46
Clap Elementary School,$20 ,62,0.556
Community Academy,$0 ,62,0.842
Community Academy of Science and Health,$50 ,69,0.658
Condon K-8 School,$28 ,67,0.591
Conley Elementary School,$171 ,49,0.324
Curley K-8 School,$174 ,55,0.488
Dearborn STEM Academy,$2 ,58,0.574
Dever Elementary School,$2 ,80,0.643
Dorchester Academy (No longer exists),$0 ,63,
East Boston Early Education Center,$57 ,55,0.426
East Boston High School,$298 ,53,0.557
Edison Elementary School,$41 ,59,0.526
Edwards MS,$9 ,71,0.549
Eliot K-8 Innovation School - Intermediate,"$1,233 ",20,0.162
Ellis Elementary School,$28 ,81,0.197
Ellison-Parks Early Education School,$4 ,68,0.531
English High School,$93 ,67,0.657
Everett Elementary School,$6 ,66,0.537
Excel High School,$42 ,63,0.614
Fenway High School,"$5,973 ",52,0.434
Frederick,$39 ,73,0.58
Gardner Pilot Academy,"$1,047 ",51,0.459
Greater Egleston High School,$4 ,70,0.744
Greenwood Sarah K-8 School,$67 ,72,0.636
Grew Elementary School,$37 ,68,0.313
Guild Elementary School,$0 ,60,0.427
Hale Elementary School,$25 ,56,0.753
Haley Pilot School,$120 ,43,0.425
Harvard-Kent Elementary School,$321 ,68,0.388
Haynes Early Education Center,$105 ,66,0.681
Henderson K-12 Inclusion School Lower,$59 ,42,0.465
Henderson K-12 Inclusion School Upper,$0 ,52,0.465
Hennigan Elementary School,$5 ,72,0.669
Hernandez Elementary School,"$1,172 ",59,0.535
Higginson Inclusion K0-2 School,$26 ,82,0.765
Higginson-Lewis 3-8 School,$59 ,80,0.698
Holmes Elementary School,$73 ,75,0.589
Horace Mann School for the Deaf Hard of Hearing (Shared with Warren Prescott),$30 ,75,0.614
Hurley K-8 School,"$1,171 ",52,0.497
Irving,$15 ,64,0.623
Jackson Mann,$21 ,67,0.561
"Kennedy, Edward M (CHECK ALL KENNEDY)",$0 ,54,
Kennedy John F Elementary School,$90 ,71,0.656
Kennedy Patrick J Elementary School,$133 ,58,0.4
Kenny Elementary School,$68 ,63,0.392
Kilmer K-8 School (K-3),$10 ,25,0.281
King School,$35 ,76,0.683
Lee Academy,$75 ,60,0.494
Lee K-8 School,$73 ,66,0.568
Lyndon K-8 School,$102 ,29,0.233
Lyon High School,$0 ,50,0.394
Lyon K-8 School,$168 ,49,
Madison Park Technical Vocational High School,$351 ,68,0.67
Manning Elementary School,$166 ,32,0.197
Margarita Muñiz Academy,"$2,298 ",69,0.607
Mason Elementary School,$107 ,60,0.654
Mather Elementary School,$30 ,62,0.538
Mattahunt Elementary School,$29 ,72,
Mattapan ELC,$0 ,64,0.632
McCormack Middle,$59 ,75,0.5
McKay K-8 School,$40 ,57,0.447
McKinley,$82 ,78,0.606
Mendell Elementary School,$250 ,34,0.479
Mildred Avenue K-8 School,$175 ,67,0.547
Mission Hill K-8,$213 ,45,0.371
Mozart Elementary School,$37 ,33,0.252
Murphy K-8 School,$17 ,46,0.416
New Mission High School,$45 ,51,0.456
O'Bryant School of Math & Science,$74 ,44,0.268
O'Donnell Elementary School,$37 ,57,0.454
Ohrenberger School (3-8),$9 ,49,0.425
Orchard Gardens K-8 School,$213 ,64,0.647
Otis Elementary School,$348 ,52,0.419
Perkins Elementary School,$77 ,80,0.655
Perry Elementary School,$169 ,47,0.402
Philbrick,$258 ,49,0.377
Quincy Elementary School,$359 ,52,0.538
Josiah Quincy Upper School,$162 ,61,0.343
Roosevelt K-8 School (K1-1),$182 ,43,0.354
Russell Elementary School,$201 ,64,0.592
Shaw-Taylor Elementary (2-6),$132 ,70,0.567
Snowden International High School,$194 ,54,0.534
Sumner,$19 ,57,0.329
Shaw-Taylor Elementary (2-6),($4),66,0.559
TechBoston Academy,$209 ,65,0.571
Timilty,$36 ,68,0.637
Tobin K-8 School,$10 ,78,0.694
Trotter Elementary School,$103 ,79,0.744
Tynan Elementary School,$75 ,75,0.551
Mario Umana Academy,$15 ,60,0.478
UP Academy Boston (no report),$0 ,,0.545
UP Academy Dorchester,$0 ,,0.575
UP Academy Holland,$0 ,73,0.646
Urban Science,$19 ,52,0.566
Warren-Prescott K-8 School,"$1,174 ",44,0.255
West Roxbury Academy,$14 ,56,0.614
West Zone Early Learning,$33 ,45,0.563
Winship Elementary School,$58 ,45,0.373
Winthrop Elementary School,$7 ,77,0.703
Young Achievers K-8 School,$55 ,67,0.573
